instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
322,11/18/2011,4,0,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,3392
323,11/19/2011,4,0,11,0,6,0,1,0.329167,0.324483,0.502083,0.224496,3663
324,11/20/2011,4,0,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595,3520
325,11/21/2011,4,0,11,0,1,1,3,0.4475,0.445062,0.91,0.138054,2765
326,11/22/2011,4,0,11,0,2,1,3,0.416667,0.421696,0.9625,0.118792,1607
327,11/23/2011,4,0,11,0,3,1,2,0.440833,0.430537,0.757917,0.335825,2566
329,11/25/2011,4,0,11,0,5,1,1,0.375,0.380671,0.64375,0.0988958,2792
330,11/26/2011,4,0,11,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,3068
331,11/27/2011,4,0,11,0,0,0,1,0.459167,0.4558,0.698333,0.208954,3071
332,11/28/2011,4,0,11,0,1,1,1,0.503478,0.490122,0.743043,0.142122,3867
333,11/29/2011,4,0,11,0,2,1,2,0.458333,0.451375,0.830833,0.258092,2914
334,11/30/2011,4,0,11,0,3,1,1,0.325,0.311221,0.613333,0.271158,3613
335,12/1/2011,4,0,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158,3727
336,12/2/2011,4,0,12,0,5,1,1,0.314167,0.331433,0.625833,0.100754,3940
337,12/3/2011,4,0,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,3614
338,12/4/2011,4,0,12,0,0,0,1,0.330833,0.3491,0.775833,0.0839583,3485
339,12/5/2011,4,0,12,0,1,1,2,0.385833,0.393925,0.827083,0.0622083,3811
340,12/6/2011,4,0,12,0,2,1,3,0.4625,0.4564,0.949583,0.232583,2594
342,12/8/2011,4,0,12,0,4,1,1,0.265833,0.256938,0.58,0.240058,3322
343,12/9/2011,4,0,12,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,3620
344,12/10/2011,4,0,12,0,6,0,1,0.275,0.266412,0.5075,0.233221,3190
345,12/11/2011,4,0,12,0,0,0,1,0.220833,0.253154,0.49,0.0665417,2743
346,12/12/2011,4,0,12,0,1,1,1,0.238333,0.270196,0.670833,0.06345,3310
347,12/13/2011,4,0,12,0,2,1,1,0.2825,0.301138,0.59,0.14055,3523
348,12/14/2011,4,0,12,0,3,1,2,0.3175,0.338362,0.66375,0.0609583,3740
349,12/15/2011,4,0,12,0,4,1,2,0.4225,0.412237,0.634167,0.268042,3709
350,12/16/2011,4,0,12,0,5,1,2,0.375,0.359825,0.500417,0.260575,3577
351,12/17/2011,4,0,12,0,6,0,2,0.258333,0.249371,0.560833,0.243167,2739
352,12/18/2011,4,0,12,0,0,0,1,0.238333,0.245579,0.58625,0.169779,2431
353,12/19/2011,4,0,12,0,1,1,1,0.276667,0.280933,0.6375,0.172896,3403
354,12/20/2011,4,0,12,0,2,1,2,0.385833,0.396454,0.595417,0.0615708,3750
355,12/21/2011,1,0,12,0,3,1,2,0.428333,0.428017,0.858333,0.2214,2660
356,12/22/2011,1,0,12,0,4,1,2,0.423333,0.426121,0.7575,0.047275,3068
357,12/23/2011,1,0,12,0,5,1,1,0.373333,0.377513,0.68625,0.274246,2209
358,12/24/2011,1,0,12,0,6,0,1,0.3025,0.299242,0.5425,0.190304,1011
359,12/25/2011,1,0,12,0,0,0,1,0.274783,0.279961,0.681304,0.155091,754
360,12/26/2011,1,0,12,1,1,0,1,0.321739,0.315535,0.506957,0.239465,1317
361,12/27/2011,1,0,12,0,2,1,2,0.325,0.327633,0.7625,0.18845,1162
362,12/28/2011,1,0,12,0,3,1,1,0.29913,0.279974,0.503913,0.293961,2302
363,12/29/2011,1,0,12,0,4,1,1,0.248333,0.263892,0.574167,0.119412,2423
364,12/30/2011,1,0,12,0,5,1,1,0.311667,0.318812,0.636667,0.134337,2999
365,12/31/2011,1,0,12,0,6,0,1,0.41,0.414121,0.615833,0.220154,2485
